m,e0,e1,a0,a1,Q,T0,T1,s0
31274.0,0.0005435825286180213,0.9749632282407111,0.012790177143953444,0.9872098228560465,0.0007599877944887146,-18.759009147304674,0.27592185198762154,20
30734.0,0.0012689529511290428,0.961768725190343,0.01975011388039305,0.980249886119607,0.0017577719056811603,-11.799916777705151,0.2855312131018097,30
30654.0,0.002609773602140014,0.9485222156977882,0.027043778952175898,0.9729562210478241,0.0037568152442517544,-8.29206689249785,0.303353153857462,40
30003.0,0.0041662500416625005,0.9325400793254008,0.03581308535813085,0.9641869146418691,0.005767345917587652,-6.055219841234436,0.3124186523108744,50
29799.0,0.006174703849122454,0.9191583610188261,0.04350817141514816,0.9564918285848518,0.008563485738465104,-4.803251040971928,0.32553680622889913,60
29486.0,0.008648172013837075,0.9063623414501798,0.05114291528182866,0.9488570847181713,0.012065148460625674,-3.9084305361889466,0.3423394007808161,70
29157.0,0.010872174777926399,0.8913468463833728,0.05976266419727681,0.9402373358027232,0.014601197491939888,-3.240758716406064,0.3436127808243278,80
28780.0,0.014732453092425296,0.8716122307157749,0.07156011118832523,0.9284398888116748,0.01922320715827952,-2.5637044087182685,0.35383672131068183,90
28376.0,0.01709190865520158,0.8587186354665914,0.07918663659430504,0.920813363405695,0.02164277048016594,-2.2498504804772264,0.35561660613190105,100
27967.0,0.020416919941359458,0.8435298744949404,0.0884435227232095,0.9115564772767905,0.025189326459337247,-1.925363138221703,0.35920510392015326,110
28023.0,0.02530064589801235,0.8266067159119295,0.09934696499304144,0.9006530350069586,0.030861652889367486,-1.6123482527894377,0.36890902323009245,120
27505.0,0.03264860934375568,0.8093437556807853,0.11165242683148519,0.8883475731685149,0.04036468985279096,-1.2944536325404639,0.3918581288218465,130
27431.0,0.0368925668039809,0.7931172760745142,0.12188764536473333,0.8781123546352667,0.044071937422843654,-1.1277878621611495,0.3918331707251637,140
27130.0,0.04183560633984519,0.7784371544415776,0.1316992259491338,0.8683007740508663,0.04898184044848819,-0.982459488805083,0.39504585269228215,150
26871.0,0.046741840646049644,0.7618622306575863,0.1424398049942317,0.8575601950057683,0.052905485198509794,-0.8516509837798285,0.39424610132433746,160
26700.0,0.052808988764044947,0.7473408239700374,0.15273408239700376,0.8472659176029963,0.05896257767678026,-0.7306282168004183,0.40157512211085294,170
26204.0,0.06220424362692719,0.7291634864906121,0.16652037856815755,0.8334796214318425,0.0689504142968893,-0.5805889725781742,0.4140125578049065,180
26224.0,0.06753355704697987,0.7109136668700428,0.1783099450884686,0.8216900549115315,0.07147824105905443,-0.5058914152838647,0.4070294809007144,190
26027.0,0.0759980020747685,0.6945479694163753,0.1907250163291966,0.8092749836708034,0.07924394044199246,-0.4069493317086079,0.4132532313469405,200
25458.0,0.08205672087359572,0.6764867625108021,0.20278497918139682,0.7972150208186032,0.08186994618399246,-0.34936467462332244,0.4067757349621233,210
25589.0,0.09375122122787136,0.6576654031028958,0.2180429090624878,0.7819570909375122,0.0924170220708781,-0.2527965281553929,0.4169407620363185,220
25448.0,0.10562716127004086,0.6403646651996228,0.23263124803520904,0.7673687519647909,0.10301972741524379,-0.1699844735830801,0.4279559776421503,230
25389.0,0.11284414510220962,0.6164480680609713,0.24819803852061917,0.7518019614793808,0.10248375755345385,-0.13451293842041281,0.4092790669536988,240
25209.0,0.12261493910904836,0.6046650005950256,0.2589749692570114,0.7410250307429886,0.11109380881475661,-0.0805623850765268,0.41912415870799546,250
24760.0,0.13517770597738288,0.5822697899838449,0.276453957996769,0.723546042003231,0.11750183017060722,-0.027816282079447932,0.4158704304929453,260
25146.0,0.14793605344786448,0.5659747077069912,0.29098067287043666,0.7090193271295634,0.12653260292746482,0.026115380181620455,0.422280149334352,270
24694.0,0.1571231878189034,0.5440997813233984,0.3065117032477525,0.6934882967522475,0.12634752718213016,0.04759188548409078,0.40740845130775555,280
24573.0,0.17279127497660032,0.5304602612623611,0.3211655068571196,0.6788344931428804,0.13928798436361967,0.1039873549496833,0.4211945312698467,290
24247.0,0.18443518785829174,0.5087639708005114,0.33783560852889016,0.6621643914711098,0.14060457893641237,0.12664037128296352,0.4097695963825709,300
24243.0,0.1980365466320175,0.4918945675040218,0.35307098956399785,0.6469290104360021,0.14675484592063365,0.16062275794318112,0.40962481844738624,310
24264.0,0.20969337289812068,0.474983514671942,0.36735492911308937,0.6326450708869107,0.14948745790887558,0.18282573185557843,0.40272780887346105,320
24187.0,0.22565841154339109,0.4551618638111382,0.3852482738661264,0.6147517261338735,0.15448435805312233,0.21330681869812743,0.3979546725414226,330
24266.0,0.2421082996785626,0.43472348141432454,0.403692409132119,0.596307590867881,0.1582814769753368,0.23673893274159502,0.3913042892783306,340
23960.0,0.25358931552587644,0.42057595993322205,0.4165066777963272,0.5834933222036728,0.16022300575388587,0.2534143012402386,0.38446132329191546,350
24241.0,0.26686192813827814,0.40328369291695887,0.43178911761065963,0.5682108823893404,0.16084017210257218,0.2676977551248278,0.3739019843972386,360
23801.0,0.278895844712407,0.38414352338137053,0.4473761606655183,0.5526238393344818,0.1575008311611748,0.2732896173098521,0.3557675946071036,370
23979.0,0.3022227782643146,0.3659452020517953,0.46813878810625964,0.5318612118937404,0.16613770666943428,0.3067298921500019,0.3566029700436098,380
23893.0,0.3195915121583727,0.3483865567320973,0.48560247771313775,0.5143975222868623,0.1675634915944686,0.3244540274693587,0.3463914280399502,390
23856.0,0.32691985244802146,0.33718980549966465,0.4948650234741784,0.5051349765258216,0.16405692197984462,0.3239939314978234,0.33250536644899326,400
31602.0,0.00022150496803999747,0.9866147712170116,0.006803366875514208,0.9931966331244858,0.0003504383343942985,-35.80099328322172,0.27015611228544134,10
31247.0,0.000608058373603866,0.9742055237302781,0.01320126732166288,0.9867987326783371,0.0008675698294119405,-18.111902885578445,0.2786386871014411,20
30916.0,0.0014555569931427093,0.9611204554276103,0.020167550782766205,0.9798324492172338,0.002097653777134445,-11.496603773421565,0.2905859670963379,30
30540.0,0.0027177472167648985,0.9462344466273739,0.02824165029469548,0.9717583497053045,0.003840312810794,-7.920184937655352,0.3026157782467803,40
30081.0,0.004388151989628004,0.9313520162228649,0.036518067883381536,0.9634819321166185,0.00610916541538542,-5.925920848805757,0.31472851910773236,50
